"URL","school","Term","Department","Course","book","author","editon","publisher","ISBN-13","ISBN-10","image link","is_required","price"
,,"Spring 2024  • "," ","CMHC 601 C PRACTICUM &SEMINAR • ","Rest Is Resistance 2022","Hersey, Tricia","2022","Little, Brown and Company","978-0bogus-316-36521-5","0-316bogus-36521-1","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0316365211.gif","Recommended","$25.25"
,,"Spring 2024  • "," ","CMHC 601 C PRACTICUM &SEMINAR • ","The Pocket Guide To The Dsm-5-tr Diagnostic Exam Latest","Nussbaum","Latest","American Psychiatric Pub.(cc)","978-1bogus-61537-358-1","1-615bogus37-358-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M007004611.gif","Recommended","$51.25"
,,"Spring 2024  • "," ","CMHC 617 A TREATMENT PLANNING • ","Theory and Treatment Planning in Counseling and Psychotherapy 2ND 16","Gehart, Diane R.","2ND 16","Cengage Learning","978-1bogus-305-08961-7","1-305bogus-08961-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1305089618.gif","Required","$101.00$134.75"
,,"Spring 2024  • "," ","CMHC 617 A TREATMENT PLANNING • ","Complete Adult Psychotherapy Treatment Planner 6TH 21","Jongsma, Arthur E. / Petersen, L. Mark / Bruce, Timothy J.","6TH 21","John Wiley & Sons, Inc.","978-1bogus-119-62993-1","1-119bogus-62993-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M005440011.gif","Required","$50.00$66.75"
,,"Spring 2024  • "," ","COUN 533 A COUNSELING THEORIES • ","Theories of Counseling and Therapy: An Experiential Approach 3RD 19","Kottler, Jeffrey A. / Montgomery, Marilyn J.","3RD 19","Cognella Academic Publishing","978-1bogus-5165-2421-1","1-516bogus5-2421-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M002304354.gif","Required","$84.25$112.25"
,,"Spring 2024  • "," ","COUN 534 A COUNSELING SKILLS • ","Intentional Interviewing and Counseling: Facilitating Client Development in a Multicultural Society 9TH 18","Ivey, Allen E.","9TH 18","Cengage Learning","978-1bogus-305-86578-5","1-305bogus-86578-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1305865782.gif","Required","$132.00$176.00"
,,"Spring 2024  • "," ","COUN 534 A COUNSELING SKILLS • ","The Pocket Guide To The Dsm-5-tr Diagnostic Exam Latest","Nussbaum","Latest","American Psychiatric Pub.(cc)","978-1bogus-61537-358-1","1-615bogus37-358-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M007004611.gif","Required","$51.25"
,,"Spring 2024  • "," ","COUN 534 ACLA COUNSELING SKILLS • ","Intentional Interviewing and Counseling: Facilitating Client Development in a Multicultural Society 9TH 18","Ivey, Allen E.","9TH 18","Cengage Learning","978-1bogus-305-86578-5","1-305bogus-86578-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1305865782.gif","Required","$132.00$176.00"
,,"Spring 2024  • "," ","COUN 534 B COUNSELING SKILLS • ","Intentional Interviewing and Counseling: Facilitating Client Development in a Multicultural Society 9TH 18","Ivey, Allen E.","9TH 18","Cengage Learning","978-1bogus-305-86578-5","1-305bogus-86578-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1305865782.gif","Required","$132.00$176.00"
,,"Spring 2024  • "," ","COUN 534 B COUNSELING SKILLS • ","The Pocket Guide To The Dsm-5-tr Diagnostic Exam Latest","Nussbaum","Latest","American Psychiatric Pub.(cc)","978-1bogus-61537-358-1","1-615bogus37-358-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M007004611.gif","Required","$51.25"
,,"Spring 2024  • "," ","COUN 535 A DIAGNOSIS OF MALADAPTIVE • ","Psychopathology: From Science to Clinical Practice 2ND 21","Castonguay, Louis / Oltmanns, Thomas F. / Lott, Abigail Powers (Eds.)","2ND 21","Guilford Press","978-1bogus-4625-4761-6","1-462bogus5-4761-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1462547613.gif","Required","$67.50"
,,"Spring 2024  • "," ","COUN 535 A DIAGNOSIS OF MALADAPTIVE • ","",,,,,,,"",""
,,"Spring 2024  • "," ","COUN 535 B DIAGNOSIS OF MALADAPTIVE • ","Psychopathology: From Science to Clinical Practice 2ND 21","Castonguay, Louis / Oltmanns, Thomas F. / Lott, Abigail Powers (Eds.)","2ND 21","Guilford Press","978-1bogus-4625-4761-6","1-462bogus5-4761-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1462547613.gif","Required","$67.50"
,,"Spring 2024  • "," ","COUN 535 B DIAGNOSIS OF MALADAPTIVE • ","",,,,,,,"",""
,,"Spring 2024  • "," ","COUN 535 C DIAGNOSIS OF MALADAPTIVE • ","Psychopathology: From Science to Clinical Practice 2ND 21","Castonguay, Louis / Oltmanns, Thomas F. / Lott, Abigail Powers (Eds.)","2ND 21","Guilford Press","978-1bogus-4625-4761-6","1-462bogus5-4761-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1462547613.gif","Required","$67.50"
,,"Spring 2024  • "," ","COUN 535 C DIAGNOSIS OF MALADAPTIVE • ","",,,,,,,"",""
,,"Spring 2024  • "," ","COUN 618 A COUNSELING COUPLES &FAMIL • ","Essentials of Family Therapy 7TH 20","Nichols, Michael P. / Davis, Sean D.","7TH 20","Pearson","978-0bogus-13-516809-7","0-13-bogus516809-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M002287922.gif","Required","$89.00$118.50"
,,"Spring 2024  • "," ","COUN 622 ACLA HUMAN GROWTH & DEVELOPMEN • ","Development Through Life: Psychosocial Approach 13TH 18","Newman, Barbara M. / Newman, Philip R.","13TH 18","Cengage Learning","978-1bogus-337-09814-4","1-337bogus-09814-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1337098140.gif","Required","$167.00$222.75"
,,"Spring 2024  • "," ","COUN 622 B HUMAN GROWTH & DEVELOPMEN • ","Lifespan Development 2023","Coker, J. Kelly","2023","Springer Publishing Co.","978-0bogus-8261-8278-4","0-826bogus1-8278-X","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/082618278X.gif","Required","$75.00$99.75"
,,"Spring 2024  • "," ","COUN 622 C HUMAN GROWTH & DEVELOPMEN • ","Lifespan Development 2023","Coker, J. Kelly","2023","Springer Publishing Co.","978-0bogus-8261-8278-4","0-826bogus1-8278-X","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/082618278X.gif","Required","$75.00$99.75"
,,"Spring 2024  • "," ","COUN 622 EONL HUMAN GROWTH & DEVELOPMEN • ","Development Through Life: Psychosocial Approach 13TH 18","Newman, Barbara M. / Newman, Philip R.","13TH 18","Cengage Learning","978-1bogus-337-09814-4","1-337bogus-09814-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1337098140.gif","Required","$167.00$222.75"
,,"Spring 2024  • "," ","COUN 626 A APPRAISAL &ASSESSMENT • ","Complete Adult Psychotherapy Treatment Planner 6TH 21","Jongsma, Arthur E. / Petersen, L. Mark / Bruce, Timothy J.","6TH 21","John Wiley & Sons, Inc.","978-1bogus-119-62993-1","1-119bogus-62993-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M005440011.gif","Required","$50.00$66.75"
,,"Spring 2024  • "," ","COUN 626 B APPRAISAL &ASSESSMENT • ","Principles and Applications of Assessment in Counseling (Paperback) 5TH 17","Whiston, Susan C.","5TH 17","Cengage Learning","978-0bogus-357-67063-7","0-357bogus-67063-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0357670639.gif","Required","$132.00$176.00"
,,"Spring 2024  • "," ","COUN 629 CONL CAREER DEVELOPMENT THEORI • ","Career Counseling: A Holistic Approach 9TH 16","Vernon G. Zunker","9TH 16","Cengage Learning","979-8bogus2-14-33934-4","bogus","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1305087283.gif","Required","$76.50$45.18$60.82"
,,"Spring 2024  • "," ","COUN 630 A ADDICTION COUNSELING • ","Trauma and Addiction: Ending the Cycle of Pain Through Emotional Literacy 2000","Dayton, Tian","2000","Health Communications, Inc.","978-1bogus-55874-751-7","1-558bogus74-751-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1558747516.gif","Required","$14.50"
,,"Spring 2024  • "," ","COUN 630 A ADDICTION COUNSELING • ","Bowlby Centre Monograph Series 2014","Gill, Richard","2014","Taylor & Francis Course Content Delivery","978-0bogus-429-91057-9","0-429bogus-91057-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M002530694.gif","Required","$31.50$18.13$21.42$64.95"
,,"Spring 2024  • "," ","COUN 630 A ADDICTION COUNSELING • ","Addiction in Human Development: Developmental Perspectives on Addiction and Recovery 1993","Wallen, Jacqueline","1993","Haworth Press, Inc.","978-1bogus-56024-247-5","1-560bogus24-247-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1560242477.gif","Required","$33.75$45.00"
,,"Spring 2024  • "," ","COUN 722 ACLA COUNSELING OLDER ADULTS & • ","Counseling Older Adults (Paperback) 2011","Blando, John","2011","Routledge N. Y.","978-0bogus-415-99051-6","0-415bogus-99051-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0415990513.gif","Required","$62.25"
,,"Spring 2024  • "," ","COUN 722 ACLA COUNSELING OLDER ADULTS & • ","Living Well and Dying Well 2019","Kewell, Helen","2019","PCCS Books","978-1bogus-910919-41-5","1-910bogus919-41-1","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M009274878.gif","Required","$10.75"
,,"Spring 2024  • "," ","COUN 722 ACLA COUNSELING OLDER ADULTS & • ","Gerontology for the Health Care Professional - With Access 4TH 20","Robnett, Regula H.","4TH 20","Jones & Bartlett Learning","978-1bogus-284-14056-9","1-284bogus-14056-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1284140563.gif","Required","$94.50"
,,"Spring 2024  • "," ","DCES 801 A PROGRAM RESEARCH EVALUATI • ","Program Development in the 21st Century 2024","Nancy G. Calleja","2024","Cognella Academic Pub. (cc)","979-8bogus8-233-4258-2","bogus","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/.gif","Required","$76.25"
,,"Spring 2024  • "," ","DCES 804 A ADVANCED GROUP COUNSELING • ","Handbook of Group Counseling and Psychotherapy 2ND 14","DeLucia-Waack, Janice / Kalodner, Cynthia R. / Riva, Maria T.","2ND 14","Sage Publications, Inc.","978-1bogus-4522-1761-1","1-452bogus2-1761-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1452217610.gif","Required","$121.00"
,,"Spring 2024  • "," ","DCES 804 A ADVANCED GROUP COUNSELING • ","",,,,,,,"",""
,,"Spring 2024  • "," ","DCES 822 A QUANT RESEARCH METH COUNS • ","Research Design 5TH 18","Creswell, John W.","5TH 18","Sage Publications, Inc.","978-1bogus-5063-8670-6","1-506bogus3-8670-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1506386709.gif","Required",""
,,"Spring 2024  • "," ","DCES 850 B ADVANCED CLINICAL COUNSEL • ","Psychotherapy Relationships that Work, Volume 2 3RD 19","Norcross, John C. / Wampold, Bruce E. (Eds.)","3RD 19","Oxford University Press","978-0bogus-19-084396-0","0-19-bogus084396-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M002289147.gif","Required","$72.00"
,,"Spring 2024  • "," ","DCES 850 B ADVANCED CLINICAL COUNSEL • ","Psychotherapy Relationships that Work: Evidence-Based Therapist Contributions, Volume 1 3RD 19","Norcross, John C. / Lambert, Michael J.","3RD 19","Oxford University Press","978-0bogus-19-084395-3","0-19-bogus084395-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M002289148.gif","Required","$90.00"
,,"Spring 2024  • "," ","MACAT 515 A PROFESSIONAL DEVELOPMENT • ","Ethical Issues in Art Therapy 3RD 15","Moon, Bruce L.","3RD 15","Charles C. Thomas, Publisher","978-0bogus-398-09069-2","0-398bogus-09069-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0398090696.gif","Required",""
,,"Spring 2024  • "," ","MACAT 515 B PROFESSIONAL DEVELOPMENT • ","Ethical Issues in Art Therapy 3RD 15","Moon, Bruce L.","3RD 15","Charles C. Thomas, Publisher","978-0bogus-398-09069-2","0-398bogus-09069-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0398090696.gif","Required",""
,,"Spring 2024  • "," ","MACAT 515 C PROFESSIONAL DEVELOPMENT • ","Ethical Issues in Art Therapy 3RD 15","Moon, Bruce L.","3RD 15","Charles C. Thomas, Publisher","978-0bogus-398-09069-2","0-398bogus-09069-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0398090696.gif","Required",""
,,"Spring 2024  • "," ","MACAT 519 A ADLERIAN THEORIES &INTERG • ","Dibs in Search of Self 1964","Axline, Virginia","1964","Ballantine Books, Inc.","978-0bogus-345-33925-6","0-345bogus-33925-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0345339258.gif","Required","$6.25"
,,"Spring 2024  • "," ","MACAT 519 A ADLERIAN THEORIES &INTERG • ","Children: The Challenge 1964","Dreikurs, Rudolf","1964","Plume Books","978-0bogus-452-26655-1","0-452bogus-26655-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0452266556.gif","Required","$12.25$16.25"
,,"Spring 2024  • "," ","MACAT 519 A ADLERIAN THEORIES &INTERG • ","All About Love: New Visions 2000","Hooks, Bell","2000","Perennial Library","978-0bogus-06-095947-0","0-06-bogus095947-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0060959479.gif","Required","$11.50$15.50"
,,"Spring 2024  • "," ","MACAT 519 A ADLERIAN THEORIES &INTERG • ","Teaching parenting the positive discipline way: Step-by-step approach to starting and leading parenting classes 5TH 98","Lott, Lynn / Nelson, Jane","5TH 98","Empowering People, Inc.","978-0bogus-9606896-6-8","0-960bogus6896-6-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M000856822.gif","Required",""
,,"Spring 2024  • "," ","MACAT 519 A ADLERIAN THEORIES &INTERG • ","Positive Discipline 4TH 06","Nelsen, Jane","4TH 06","Ballantine Books, Inc.","978-0bogus-345-48767-4","0-345bogus-48767-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0345487672.gif","Required","$12.25$16.25"
,,"Spring 2024  • "," ","MACAT 519 A ADLERIAN THEORIES &INTERG • ","Art Therapy with Transgender and Gender-Expansive Children and Teenagers 2021","Darke, Kelly / Scott-Miller, Shannon","2021","Jessica Kingsley Publishers","978-1bogus-78592-808-6","1-785bogus92-808-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1785928082.gif","Optional","$29.75"
,,"Spring 2024  • "," ","MACAT 519 A ADLERIAN THEORIES &INTERG • ","Gender Creative Child: Pathways for Nurturing and Supporting Children Who Live Outside Gender Boxes 2016","Ehrensaft, Diane / Spack, Norman","2016","The Experiment","978-1bogus-61519-306-6","1-615bogus19-306-5","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1615193065.gif","Optional","$14.50"
,,"Spring 2024  • "," ","MACAT 519 B ADLERIAN THEORIES &INTERG • ","Dibs in Search of Self 1964","Axline, Virginia","1964","Ballantine Books, Inc.","978-0bogus-345-33925-6","0-345bogus-33925-8","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0345339258.gif","Required","$6.25"
,,"Spring 2024  • "," ","MACAT 519 B ADLERIAN THEORIES &INTERG • ","Children: The Challenge 1964","Dreikurs, Rudolf","1964","Plume Books","978-0bogus-452-26655-1","0-452bogus-26655-6","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0452266556.gif","Required","$12.25$16.25"
,,"Spring 2024  • "," ","MACAT 519 B ADLERIAN THEORIES &INTERG • ","All About Love: New Visions 2000","Hooks, Bell","2000","Perennial Library","978-0bogus-06-095947-0","0-06-bogus095947-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0060959479.gif","Required","$11.50$15.50"
,,"Spring 2024  • "," ","MACAT 519 B ADLERIAN THEORIES &INTERG • ","Teaching parenting the positive discipline way: Step-by-step approach to starting and leading parenting classes 5TH 98","Lott, Lynn / Nelson, Jane","5TH 98","Empowering People, Inc.","978-0bogus-9606896-6-8","0-960bogus6896-6-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M000856822.gif","Required",""
,,"Spring 2024  • "," ","MACAT 519 B ADLERIAN THEORIES &INTERG • ","Positive Discipline 4TH 06","Nelsen, Jane","4TH 06","Ballantine Books, Inc.","978-0bogus-345-48767-4","0-345bogus-48767-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0345487672.gif","Required","$12.25$16.25"
,,"Spring 2024  • "," ","MACAT 519 B ADLERIAN THEORIES &INTERG • ","Art Therapy with Transgender and Gender-Expansive Children and Teenagers 2021","Darke, Kelly / Scott-Miller, Shannon","2021","Jessica Kingsley Publishers","978-1bogus-78592-808-6","1-785bogus92-808-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1785928082.gif","Optional","$29.75"
,,"Spring 2024  • "," ","MACAT 519 B ADLERIAN THEORIES &INTERG • ","Gender Creative Child: Pathways for Nurturing and Supporting Children Who Live Outside Gender Boxes 2016","Ehrensaft, Diane / Spack, Norman","2016","The Experiment","978-1bogus-61519-306-6","1-615bogus19-306-5","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1615193065.gif","Optional","$14.50"
,,"Spring 2024  • "," ","MACAT 523 A BASIC SKILLS OF PSYCHOTHE • ","Intentional Interviewing and Counseling 10TH 23","Ivey, Allen E.","10TH 23","Cengage Learning","978-0bogus-357-62279-7","0-357bogus-62279-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M006171974.gif","Required","$176.00"
,,"Spring 2024  • "," ","MACAT 523 A BASIC SKILLS OF PSYCHOTHE • ","Bad Therapy: Master Therapists Share Their Worst Failures 2003","Kottler, Jeffrey A. / Carlson, Jon","2003","Routledge N. Y.","978-0bogus-415-93323-0","0-415bogus-93323-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0415933234.gif","Required","$44.25"
,,"Spring 2024  • "," ","MACAT 523 A BASIC SKILLS OF PSYCHOTHE • ","Art Therapy Exercises 2009","Silverstone, Liesl","2009","Jessica Kingsley Publishers","978-1bogus-84310-695-1","1-843bogus10-695-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1843106957.gif","Required","$27.00"
,,"Spring 2024  • "," ","MACAT 523 A BASIC SKILLS OF PSYCHOTHE • ","Principles and Application of Assessment in Counseling (Hardback) 5TH 17","Whiston, Susan C.","5TH 17","Cengage Learning","978-1bogus-305-27148-7","1-305bogus-27148-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1305271483.gif","Required","$176.00$234.75"
,,"Spring 2024  • "," ","MACAT 523 A BASIC SKILLS OF PSYCHOTHE • ","Gift of Therapy 2009","Yalom, Irvin","2009","Perennial Library","978-0bogus-06-171961-5","0-06-bogus171961-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0061719617.gif","Required","$13.00$17.25"
,,"Spring 2024  • "," ","MACAT 523 A BASIC SKILLS OF PSYCHOTHE • ","Strategies for Deconstructing Racism in the Health and Human Services (Paperback) 2016","Carten, Alma / Siskind, Alan / Greene, Mary Pender (Eds.)","2016","Oxford University Press","978-0bogus-19-936890-7","0-19-bogus936890-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0199368902.gif","Optional","$84.75"
,,"Spring 2024  • "," ","MACAT 523 B BASIC SKILLS OF PSYCHOTHE • ","Intentional Interviewing and Counseling 10TH 23","Ivey, Allen E.","10TH 23","Cengage Learning","978-0bogus-357-62279-7","0-357bogus-62279-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M006171974.gif","Required","$176.00"
,,"Spring 2024  • "," ","MACAT 523 B BASIC SKILLS OF PSYCHOTHE • ","Bad Therapy: Master Therapists Share Their Worst Failures 2003","Kottler, Jeffrey A. / Carlson, Jon","2003","Routledge N. Y.","978-0bogus-415-93323-0","0-415bogus-93323-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0415933234.gif","Required","$44.25"
,,"Spring 2024  • "," ","MACAT 523 B BASIC SKILLS OF PSYCHOTHE • ","Art Therapy Exercises 2009","Silverstone, Liesl","2009","Jessica Kingsley Publishers","978-1bogus-84310-695-1","1-843bogus10-695-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1843106957.gif","Required","$27.00"
,,"Spring 2024  • "," ","MACAT 523 B BASIC SKILLS OF PSYCHOTHE • ","Principles and Application of Assessment in Counseling (Hardback) 5TH 17","Whiston, Susan C.","5TH 17","Cengage Learning","978-1bogus-305-27148-7","1-305bogus-27148-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1305271483.gif","Required","$176.00$234.75"
,,"Spring 2024  • "," ","MACAT 523 B BASIC SKILLS OF PSYCHOTHE • ","Gift of Therapy 2009","Yalom, Irvin","2009","Perennial Library","978-0bogus-06-171961-5","0-06-bogus171961-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0061719617.gif","Required","$13.00$17.25"
,,"Spring 2024  • "," ","MACAT 523 B BASIC SKILLS OF PSYCHOTHE • ","Strategies for Deconstructing Racism in the Health and Human Services (Paperback) 2016","Carten, Alma / Siskind, Alan / Greene, Mary Pender (Eds.)","2016","Oxford University Press","978-0bogus-19-936890-7","0-19-bogus936890-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0199368902.gif","Optional","$84.75"
,,"Spring 2024  • "," ","MACAT 523 C BASIC SKILLS OF PSYCHOTHE • ","Intentional Interviewing and Counseling 10TH 23","Ivey, Allen E.","10TH 23","Cengage Learning","978-0bogus-357-62279-7","0-357bogus-62279-0","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M006171974.gif","Required","$176.00"
,,"Spring 2024  • "," ","MACAT 523 C BASIC SKILLS OF PSYCHOTHE • ","Bad Therapy: Master Therapists Share Their Worst Failures 2003","Kottler, Jeffrey A. / Carlson, Jon","2003","Routledge N. Y.","978-0bogus-415-93323-0","0-415bogus-93323-4","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0415933234.gif","Required","$44.25"
,,"Spring 2024  • "," ","MACAT 523 C BASIC SKILLS OF PSYCHOTHE • ","Art Therapy Exercises 2009","Silverstone, Liesl","2009","Jessica Kingsley Publishers","978-1bogus-84310-695-1","1-843bogus10-695-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1843106957.gif","Required","$27.00"
,,"Spring 2024  • "," ","MACAT 523 C BASIC SKILLS OF PSYCHOTHE • ","Principles and Application of Assessment in Counseling (Hardback) 5TH 17","Whiston, Susan C.","5TH 17","Cengage Learning","978-1bogus-305-27148-7","1-305bogus-27148-3","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1305271483.gif","Required","$176.00$234.75"
,,"Spring 2024  • "," ","MACAT 523 C BASIC SKILLS OF PSYCHOTHE • ","Gift of Therapy 2009","Yalom, Irvin","2009","Perennial Library","978-0bogus-06-171961-5","0-06-bogus171961-7","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0061719617.gif","Required","$13.00$17.25"
,,"Spring 2024  • "," ","MACAT 523 C BASIC SKILLS OF PSYCHOTHE • ","Strategies for Deconstructing Racism in the Health and Human Services (Paperback) 2016","Carten, Alma / Siskind, Alan / Greene, Mary Pender (Eds.)","2016","Oxford University Press","978-0bogus-19-936890-7","0-19-bogus936890-2","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/0199368902.gif","Optional","$84.75"
,,"Spring 2024  • "," ","MACAT 524 A RESEARCH METHODS IN ART T • ","Research Design 5TH 18","Creswell, John W.","5TH 18","Sage Publications, Inc.","978-1bogus-5063-8670-6","1-506bogus3-8670-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/1506386709.gif","Required",""
,,"Spring 2024  • "," ","MACAT 524 A RESEARCH METHODS IN ART T • ","Introduction to Art Therapy Research 2ND 18","Kapitan, Lynn","2ND 18","Routledge N. Y.","978-1bogus-138-91285-4","1-138bogus-91285-9","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M001860082.gif","Required","$51.50"
,,"Spring 2024  • "," ","MACAT 524 A RESEARCH METHODS IN ART T • ","Understanding Critical Race Research Methods and Methodologies 2019","Decuir-Gunby, J. / Chapman, T. / Schutz, P. (Eds.)","2019","Routledge N. Y.","978-1bogus-138-29470-7","1-138bogus-29470-5","https://bookinfo.mbsdirect.net/TextbookInfo/Covers/M002272451.gif","Optional","$51.50"
